# %ECSV 0.9
# ---
# datatype:
# - {name: Ion, datatype: string}
# - {name: wave, datatype: float64}
# - {name: score, datatype: int64}
# - {name: RelInt, datatype: int64}
# meta: !!omap
# - {date: '2016-04-21'}
# - {version: v1.0}
Ion wave score RelInt
CdI 3081.7172 2 150
CdI 3083.4887 2 30
CdI 3134.0746 2 200
CdI 3253.4622 2 300
CdI 3261.9951 2 300
CdI 3404.6287 2 800
CdI 3467.1923 2 1000
CdI 3468.6477 2 800
CdI 3500.9531 2 25
CdI 3611.5375 1 1000
CdI 3983.0519 2 10
CdI 4141.4665 2 0
CdI 4307.8832 2 8
CdI 4414.2288 2 3
CdI 4663.6572 2 8
CdI 4679.4587 1 200
CdI 4801.254 1 300
CdI 5087.2393 1 1000
CdI 5156.0964 2 6
CdI 6100.8305 2 300
CdI 6113.187 2 100
CdI 6326.9151 2 100
CdI 6331.7636 2 30
CdI 6440.249 2 2000
CdI 6779.9865 2 30
CdI 7347.6941 2 1000
CdI 8202.5633 2 5
CdI 9295.0 2 20
ArI 6967.352 2 10000
ArI 7069.167 2 10000
ArI 7149.012 2 1000
ArI 7274.94 2 2000
ArI 7386.014 2 10000
ArI 7505.935 2 20000
ArI 7516.721 2 15000
ArI 7637.208 2 25000
ArI 7725.887 2 15000
ArI 7726.333 2 10000
ArI 7950.362 2 20000
ArI 8008.359 2 20000
ArI 8016.99 2 25000
ArI 8105.921 2 20000
ArI 8117.542 2 35000
ArI 8266.794 2 10000
ArI 8410.521 2 15000
ArI 8426.963 2 20000
ArI 8523.783 2 15000
ArI 8670.325 2 4500
ArI 9125.471 2 35000
ArI 9227.03 2 15000
ArI 9356.787 2 1600
ArI 9660.435 2 25000
ArI 9787.186 2 4500
HgI 3022.384 2 1200
HgI 3126.58 2 4000
HgI 3132.463 2 3000
HgI 3132.752 2 4000
HgI 3651.198 1 9000
HgI 3655.883 2 3000
HgI 3664.327 2 2000
HgI 4047.708 1 12000
HgI 4078.988 1 1000
HgI 4359.56 1 12000
HgI 5462.268 1 6000
HgI 5771.21 1 1000
HgI 5792.276 2 900
HgI 6909.37 2 1000
HgI 7083.854 2 1000
HgI 7093.815 2 800
NeI 5854.1101 1 20000
NeI 5874.4552 2 5000
NeI 5883.5252 1 10000
NeI 5915.272 2 2500
NeI 5920.5469 2 2500
NeI 5946.481 1 5000
NeI 5967.1235 2 5000
NeI 5976.2823 2 5000
NeI 5977.1895 2 6000
NeI 5989.566 2 1500
NeI 6002.5895 2 1000
NeI 6031.6666 2 10000
NeI 6076.0193 2 10000
NeI 6097.8506 2 3000
NeI 6130.146 2 1000
NeI 6144.208 2 1000
NeI 6144.7629 1 10000
NeI 6152.0006 2 1000
NeI 6165.2994 2 10000
NeI 6183.8566 2 1500
NeI 6207.4945 2 1000
NeI 6215.595 2 1500
NeI 6219.0013 2 10000
NeI 6248.4574 2 1000
NeI 6260.5196 2 1000
NeI 6268.2285 2 10000
NeI 6295.4853 2 1000
NeI 6306.5329 2 1000
NeI 6315.4314 2 1500
NeI 6329.9144 2 3000
NeI 6332.64 2 1500
NeI 6336.1791 2 10000
NeI 6353.6094 2 1000
NeI 6366.756 2 1000
NeI 6384.756 2 10000
NeI 6402.845 2 1000
NeI 6404.018 1 20000
NeI 6411.5186 2 1500
NeI 6423.4794 2 1000
NeI 6446.4929 2 1500
NeI 6508.3255 1 15000
NeI 6534.6872 2 1000
NeI 6600.7754 2 10000
NeI 6604.7244 2 1000
NeI 6653.9294 2 1500
NeI 6668.733 2 1000
NeI 6680.1205 1 5000
NeI 6931.3787 1 100000
NeI 7025.987 2 34000
NeI 7034.352 1 85000
NeI 7053.2365 2 2200
NeI 7061.0543 2 10000
NeI 7175.9154 1 77000
NeI 7247.1631 1 77000
NeI 7440.9469 1 60000
NeI 7474.4962 2 3100
NeI 7490.9335 1 32000
NeI 7537.8488 1 28000
NeI 7546.1211 2 13000
NeI 7939.1789 2 1300
NeI 7945.3654 1 7900
NeI 8084.6801 2 5700
NeI 8120.7818 2 3800
NeI 8131.1461 2 1200
NeI 8138.6432 1 17000
NeI 8261.6498 2 3300
NeI 8268.3491 2 7200
NeI 8302.6062 1 29000
NeI 8303.8387 2 1900
NeI 8368.0455 2 4600
NeI 8378.661 2 6600
NeI 8379.9093 1 76000
NeI 8419.4727 2 2700
NeI 8420.7398 2 26000
NeI 8465.6824 2 3700
NeI 8486.7736 2 1300
NeI 8497.6932 1 69000
NeI 8547.0427 2 1600
NeI 8573.7082 2 2900
NeI 8585.2609 2 1600
NeI 8593.6184 1 41000
NeI 8637.019 1 35000
NeI 8649.4164 2 6000
NeI 8656.7599 1 64000
NeI 8657.8995 2 7600
NeI 8681.8775 2 13000
NeI 8684.3062 2 15000
NeI 8706.5028 2 2900
NeI 8774.0664 2 10000
NeI 8781.143 2 2100
NeI 8783.0336 2 57000
NeI 8786.166 1 43000
NeI 8856.298 2 27000
NeI 8867.7399 2 2100
NeI 8868.1905 2 15000
NeI 8921.9496 1 6400
NeI 8991.024 2 1800
NeI 9151.1829 1 12000
NeI 9204.2841 1 8900
NeI 9222.59 2 6000
NeI 9224.1108 2 2200
NeI 9229.223 2 1800
NeI 9303.4053 2 7700
NeI 9316.5288 2 2700
NeI 9329.0663 2 6900
NeI 9375.8796 2 1500
NeI 9427.9655 1 4800
NeI 9461.806 2 2800
NeI 9489.2849 2 5000
NeI 9536.7793 2 6100
NeI 9550.0241 2 2800
NeI 9668.0709 2 18000
