# wave,trans
3000,2.89824e-06
3010,3.04248e-06
3020,2.94575e-06
3030,3.03078e-06
3040,3.04188e-06
3050,2.75523e-06
3060,2.96783e-06
3070,2.94884e-06
3080,3.11621e-06
3090,3.07656e-06
3100,3.08055e-06
3110,2.88758e-06
3120,2.7882e-06
3130,2.95349e-06
3140,3.18732e-06
3150,3.05063e-06
3160,2.95006e-06
3170,2.86911e-06
3180,2.92879e-06
3190,3.00408e-06
3200,3.02665e-06
3210,2.80054e-06
3220,3.18165e-06
3230,3.09633e-06
3240,3.47703e-06
3250,3.25578e-06
3260,3.25244e-06
3270,2.93878e-06
3280,3.02534e-06
3290,3.04041e-06
3300,3.12036e-06
3310,3.38319e-06
3320,3.01205e-06
3330,3.41107e-06
3340,3.1635e-06
3350,3.12719e-06
3360,3.25182e-06
3370,3.06488e-06
3380,3.10083e-06
3390,3.19307e-06
3400,3.14088e-06
3410,3.38969e-06
3420,3.07566e-06
3430,3.0325e-06
3440,3.12025e-06
3450,3.37299e-06
3460,3.01134e-06
3470,3.39463e-06
3480,2.99416e-06
3490,3.25501e-06
3500,3.19312e-06
3510,3.32081e-06
3520,3.16246e-06
3530,3.1373e-06
3540,3.0479e-06
3550,3.058e-06
3560,2.9662e-06
3570,2.96671e-06
3580,2.96526e-06
3590,2.83173e-06
3600,2.88534e-06
3610,2.75482e-06
3620,2.74852e-06
3630,2.71726e-06
3640,2.72855e-06
3650,2.71115e-06
3660,2.74347e-06
3670,2.53709e-06
3680,2.42538e-06
3690,2.5185e-06
3700,2.43303e-06
3710,2.61686e-06
3720,2.58471e-06
3730,2.40358e-06
3740,2.49165e-06
3750,2.46661e-06
3760,2.40989e-06
3770,2.20474e-06
3780,2.38468e-06
3790,2.35888e-06
3800,2.19692e-06
3810,2.49736e-06
3820,2.45502e-06
3830,2.3156e-06
3840,2.47864e-06
3850,2.50506e-06
3860,2.58201e-06
3870,2.72138e-06
3880,2.75902e-06
3890,2.56328e-06
3900,2.68623e-06
3910,3.18708e-06
3920,4.18232e-06
3930,3.93573e-06
3940,3.16068e-06
3950,2.71258e-06
3960,2.70892e-06
3970,2.87706e-06
3980,3.00667e-06
3990,3.61613e-06
4000,3.60516e-06
4010,3.15918e-06
4020,2.76113e-06
4030,2.42688e-06
4040,2.31601e-06
4050,2.39393e-06
4060,2.48566e-06
4070,2.78501e-06
4080,3.42059e-06
4090,3.43089e-06
4100,2.65948e-06
4110,2.15112e-06
4120,1.98048e-06
4130,1.95993e-06
4140,2.1251e-06
4150,2.55023e-06
4160,2.58956e-06
4170,2.1829e-06
4180,1.68077e-06
4190,1.63169e-06
4200,1.73014e-06
4210,1.60211e-06
4220,1.63382e-06
4230,1.57444e-06
4240,1.64934e-06
4250,1.59111e-06
4260,1.57072e-06
4270,1.45196e-06
4280,1.64253e-06
4290,1.49039e-06
4300,1.43972e-06
4310,1.39101e-06
4320,1.59128e-06
4330,1.45771e-06
4340,1.51803e-06
4350,1.42709e-06
4360,1.48191e-06
4370,1.54595e-06
4380,1.40735e-06
4390,1.37846e-06
4400,1.31515e-06
4410,1.41978e-06
4420,1.40424e-06
4430,1.41868e-06
4440,1.46088e-06
4450,1.32281e-06
4460,1.46286e-06
4470,1.37148e-06
4480,1.25471e-06
4490,1.3437e-06
4500,1.37293e-06
4510,1.24935e-06
4520,1.33139e-06
4530,1.31714e-06
4540,1.20335e-06
4550,1.35093e-06
4560,1.25554e-06
4570,1.37042e-06
4580,1.38644e-06
4590,1.40491e-06
4600,1.25873e-06
4610,1.29563e-06
4620,1.3388e-06
4630,1.2593e-06
4640,1.3257e-06
4650,1.28936e-06
4660,1.26341e-06
4670,1.32052e-06
4680,1.25355e-06
4690,1.24843e-06
4700,1.29738e-06
4710,1.38496e-06
4720,1.35319e-06
4730,1.43823e-06
4740,1.39917e-06
4750,1.33748e-06
4760,1.43432e-06
4770,1.29289e-06
4780,1.31914e-06
4790,1.21235e-06
4800,1.21148e-06
4810,1.19505e-06
4820,1.30891e-06
4830,1.23018e-06
4840,1.20935e-06
4850,1.30169e-06
4860,1.35298e-06
4870,1.31449e-06
4880,1.45417e-06
4890,1.36293e-06
4900,1.25286e-06
4910,1.27373e-06
4920,1.27373e-06
4930,1.26044e-06
4940,1.24527e-06
4950,1.21667e-06
4960,1.11905e-06
4970,1.10697e-06
4980,1.15119e-06
4990,1.24122e-06
5000,1.20717e-06
5010,1.13203e-06
5020,1.23133e-06
5030,1.27946e-06
5040,1.32555e-06
5050,1.22126e-06
5060,1.22943e-06
5070,1.20178e-06
5080,1.23128e-06
5090,1.23041e-06
5100,1.1003e-06
5110,1.1186e-06
5120,1.14696e-06
5130,1.17754e-06
5140,1.09398e-06
5150,1.10885e-06
5160,1.13441e-06
5170,1.05532e-06
5180,1.05576e-06
5190,1.15053e-06
5200,1.14225e-06
5210,1.1194e-06
5220,1.21482e-06
5230,1.22858e-06
5240,1.12554e-06
5250,1.07012e-06
5260,1.15797e-06
5270,1.16262e-06
5280,1.1412e-06
5290,1.0531e-06
5300,1.13213e-06
5310,1.11505e-06
5320,1.15451e-06
5330,1.30868e-06
5340,1.15968e-06
5350,1.4632e-06
5360,1.59353e-06
5370,1.91678e-06
5380,2.16222e-06
5390,2.83028e-06
5400,3.42592e-06
5410,4.28805e-06
5420,5.28644e-06
5430,6.56353e-06
5440,8.3583e-06
5450,1.0576e-05
5460,1.35492e-05
5470,1.76303e-05
5480,2.36716e-05
5490,3.23432e-05
5500,4.53989e-05
5510,6.48186e-05
5520,9.60376e-05
5530,0.000144309
5540,0.000220805
5550,0.000343581
5560,0.000537907
5570,0.000845202
5580,0.00133381
5590,0.00208455
5600,0.00327878
5610,0.00513825
5620,0.00809632
5630,0.0129631
5640,0.0209478
5650,0.0349625
5660,0.0595357
5670,0.102625
5680,0.177114
5690,0.292177
5700,0.444506
5710,0.611704
5720,0.752305
5730,0.84922
5740,0.902482
5750,0.929292
5760,0.94266
5770,0.951071
5780,0.957238
5790,0.962146
5800,0.966344
5810,0.969107
5820,0.971552
5830,0.972737
5840,0.973866
5850,0.974387
5860,0.975631
5870,0.976629
5880,0.978495
5890,0.980188
5900,0.981505
5910,0.982977
5920,0.983638
5930,0.98337
5940,0.98316
5950,0.982739
5960,0.982139
5970,0.98184
5980,0.981865
5990,0.982433
6000,0.983002
6010,0.984021
6020,0.984832
6030,0.985605
6040,0.985897
6050,0.985704
6060,0.984726
6070,0.983146
6080,0.981004
6090,0.978327
6100,0.975812
6110,0.97318
6120,0.970764
6130,0.969299
6140,0.968577
6150,0.968641
6160,0.969157
6170,0.970228
6180,0.971161
6190,0.971728
6200,0.971361
6210,0.970541
6220,0.968882
6230,0.966627
6240,0.964493
6250,0.961922
6260,0.959762
6270,0.958842
6280,0.959045
6290,0.96092
6300,0.963828
6310,0.967356
6320,0.971343
6330,0.975412
6340,0.978689
6350,0.981328
6360,0.983154
6370,0.9842
6380,0.984187
6390,0.98385
6400,0.983108
6410,0.982576
6420,0.982114
6430,0.982026
6440,0.982183
6450,0.982564
6460,0.982901
6470,0.982996
6480,0.982904
6490,0.982215
6500,0.981201
6510,0.979733
6520,0.977544
6530,0.975714
